Source,User ID
Instagram,AAE1542675
Instagram,AAG1139819
Instagram,AAQ1920322
Snapchat,AAR2036663
Offline Campaign,AAT397791
Offline Campaign,AAX617733
Offline Campaign,ABB4102768
Google,ABJ208964
Organic,ABJ2575621
Facebook,ABL1814739
Google,ABR1684537
Facebook,ABZ1462598
Instagram,ABZ2530450
Instagram,ABZ520175
Instagram,ACA228688
Organic,ACC217442
Google,ACC934782
Organic,ACJ1088413
Instagram,ACK2490276
Offline Campaign,ACK2566954
Offline Campaign,ACR2560129
Organic,ACV1389043
Snapchat,ACY1277631
Snapchat,ADF288047
Google,ADF59546
Facebook,ADU1855215
Facebook,ADY2581375
Instagram,AEA159414
Snapchat,AEA1855425
Snapchat,AEF1162685
Offline Campaign,AEI136750
Snapchat,AEO1455773
Google,AFB1613116
Organic,AFJ6101622
Offline Campaign,AFM811103
Offline Campaign,AFP1458314
Instagram,AFR1386931
Snapchat,AGG1915807
Facebook,AGL1596852
Facebook,AHA2443395
Snapchat,AHE331272
Instagram,AHH1183376
Offline Campaign,AHJ1330336
Facebook,AHW1574421
Offline Campaign,AHX630603
Instagram,AIH587729
Instagram,AIS141943
Offline Campaign,AIV2551324
Facebook,AJD974439
Instagram,AJI2623796
Instagram,AJM1390357
Facebook,AKB2293372
Offline Campaign,AKD2233027
Facebook,AKF1324090
Snapchat,AKG198688
Facebook,AKI563159
Facebook,AKZ1759142
Offline Campaign,ALD1668247
Offline Campaign,ALG22104823
Offline Campaign,ALG333861
Snapchat,ALL6106833
Google,ALU2338643
Facebook,ALX1148141
Organic,ALZ835958
Offline Campaign,AMB555764
Offline Campaign,AME1940182
Instagram,AMF1162328
Google,AMF1660735
Organic,AMH1824831
Snapchat,AMS581435
Instagram,AMT2367167
Instagram,AMU2617838
Offline Campaign,ANM2559811
Snapchat,ANO1867731
Offline Campaign,ANO779404
Organic,ANS2449566
Instagram,ANV6108306
Offline Campaign,ANZ2344919
Instagram,ANZ2354957
Snapchat,AOA130330
Google,AOA945003
Facebook,AOB1247994
Snapchat,AOG417025
Snapchat,AOP2165493
Facebook,AOR169453
Organic,AOR1825728
Google,AOU169003
Snapchat,APA446179
Snapchat,API764896
Snapchat,APP937929
Organic,APQ2413449
Offline Campaign,APS1528866
Google,APS883061
Offline Campaign,APU646239
Organic,APX750703
Offline Campaign,AQD2690402
Facebook,AQD846740
Organic,AQH11104640
Instagram,AQH1833351
Organic,AQI2107775
Instagram,AQJ17104619
Snapchat,AQQ2537344
Instagram,ARC545648
Facebook,ARL13108354
Instagram,ARM228301
Offline Campaign,ARN134716
Snapchat,ARN2550730
Instagram,ARS179344
Organic,ARS395418
Organic,ARV2115684
Google,ASB2124933
Snapchat,ASG422983
Offline Campaign,ASI2227480
Organic,ASM2010830
Offline Campaign,ASN10109716
Google,ASN1611670
Offline Campaign,ASN2431476
Snapchat,ASY139795
Organic,ATB4106308
Instagram,ATB545939
Facebook,ATC1238322
Snapchat,ATG14101904
Facebook,ATM867131
Snapchat,ATN2243860
Organic,ATO237404
Snapchat,ATO829331
Instagram,ATQ2058134
Facebook,ATW15106137
Instagram,ATY313446
Organic,AUE617406
Snapchat,AUJ334275
Instagram,AUQ1138256
Facebook,AUV989595
Snapchat,AUZ1835427
Organic,AVG2032214
Instagram,AVK26103008
Facebook,AVN1873224
Facebook,AVW2145021
Snapchat,AVW2283526
Google,AVY2028698
Instagram,AWF565310
Snapchat,AWI180553
Facebook,AWL958608
Facebook,AWM2258380
Offline Campaign,AWP1211478
Snapchat,AWS1725125
Organic,AWV410077
Offline Campaign,AXI2035466
Offline Campaign,AXJ1062982
Offline Campaign,AXP514397
Facebook,AXQ546878
Instagram,AXT2064872
Snapchat,AXU2345978
Instagram,AXU2658005
Facebook,AYB7100005
Facebook,AYE2171847
Facebook,AYO284696
Offline Campaign,AYQ748894
Organic,AYR2558191
Facebook,AYU320733
Instagram,AYX694254
Instagram,AYZ895190
Instagram,AZB1142270
Google,AZB2127189
Instagram,AZD2425377
Facebook,AZF150964
Snapchat,AZJ240224
Snapchat,AZT376215
Organic,AZV920859
Facebook,BAB1741940
Google,BAD129735
Organic,BAI897848
Organic,BBJ27461
Instagram,BBL345000
Instagram,BBP18100596
Instagram,BCG1391833
Organic,BCM2243290
Offline Campaign,BCM942612
Instagram,BCO1862550
Snapchat,BCX1346083
Snapchat,BCX876152
Snapchat,BDA435070
Facebook,BDD119131
Google,BDD469546
Snapchat,BDF459439
Instagram,BDG589514
Offline Campaign,BDJ217719
Google,BDL2421207
Organic,BDN2510449
Google,BDX17106611
Facebook,BEJ1761365
Offline Campaign,BEK1546530
Offline Campaign,BFI5100569
Organic,BFJ945051
Google,BFS1522995
Instagram,BFZ576344
Snapchat,BGD1837734
Facebook,BGD460711
Snapchat,BGE142423
Offline Campaign,BGI2443926
Organic,BGK2661056
Offline Campaign,BGL1659247
Facebook,BGN1786904
Offline Campaign,BGQ2257873
Organic,BGR1540425
Facebook,BGR195487
Instagram,BGR2372960
Organic,BGU862376
Facebook,BGV1029286
Organic,BGX151549
Snapchat,BHA2619938
Instagram,BHC682794
Google,BHH277007
Offline Campaign,BHI684087
Offline Campaign,BHK113605
Instagram,BHN2287105
Google,BHQ1036549
Facebook,BHT2042897
Instagram,BHW320391
Organic,BHY2256958
Offline Campaign,BIA399933
Instagram,BID2055647
Instagram,BIF766918
Instagram,BIM1434980
Offline Campaign,BIN896666
Instagram,BJC825098
Instagram,BJJ2694494
Offline Campaign,BJN219816
Instagram,BJT343335
Snapchat,BJU483895
Snapchat,BJY1268652
Facebook,BJZ1658548
Organic,BKE19107637
Offline Campaign,BKJ696606
Instagram,BKZ1731230
Offline Campaign,BLF2490294
Organic,BLJ218685
Snapchat,BLL1157429
Google,BLL695871
Google,BLN5103104
Google,BLR197683
Facebook,BLV137314
Offline Campaign,BLY1869144
Offline Campaign,BMD2221270
Snapchat,BMR514445
Offline Campaign,BMS1940428
Organic,BMZ1570251
Snapchat,BNE3109662
Facebook,BNH1770044
Organic,BNJ1934824
Snapchat,BNP1745291
Google,BNS1210536
Snapchat,BNX169768
Offline Campaign,BNZ2414136
Offline Campaign,BOA2515861
Snapchat,BOB1828044
Organic,BOB821492
Snapchat,BOG9107217
Instagram,BOH22102156
Facebook,BOY2376578
Google,BPE2629127
Snapchat,BPN16106563
Instagram,BPO261512
Instagram,BPR1117097
Instagram,BPX1989652
Facebook,BPX259622
Facebook,BPX633441
Snapchat,BQD1498715
Facebook,BQF3109371
Facebook,BQG250136
Organic,BQJ122587
Offline Campaign,BQL2465028
Snapchat,BQY1391533
Offline Campaign,BRP2474085
Instagram,BRQ680409
Snapchat,BRR2056655
Snapchat,BSJ22102069
Offline Campaign,BSR2037677
Organic,BSS1090381
Snapchat,BSU2429388
Offline Campaign,BSX1673176
Facebook,BSY1488692
Instagram,BTA460207
Snapchat,BTF1686802
Offline Campaign,BUA358662
Facebook,BUK1883010
Facebook,BUQ1428929
Facebook,BUT2618267
Offline Campaign,BUX1514460
Organic,BVA1818027
Offline Campaign,BVI2078558
Snapchat,BVI2235694
Offline Campaign,BVK672033
Snapchat,BWD492409
Instagram,BWN2339378
Offline Campaign,BWP1061809
Offline Campaign,BWQ1663222
Offline Campaign,BWW22101715
Facebook,BWX876947
Instagram,BXE108709
Snapchat,BXJ1844835
Snapchat,BXJ2104169
Instagram,BXN1934764
Google,BXQ1135619
Offline Campaign,BXX265064
Organic,BXZ448810
Google,BYD1612624
Google,BYE221417
Google,BYG2461188
Snapchat,BYK10101838
Instagram,BYP1472822
Snapchat,BYR1096741
Instagram,BZG1715279
Instagram,BZJ433081
Offline Campaign,BZP1665196
Organic,BZT816959
Snapchat,BZV1112588
Google,BZW1584873
Google,BZW1844256
Facebook,BZW2461992
Facebook,BZX624216
Snapchat,BZZ22106899
Offline Campaign,CAA2106023
Instagram,CAE2582707
Snapchat,CAG1496861
Facebook,CAO1449017
Offline Campaign,CAY1891764
Facebook,CBA1141856
Offline Campaign,CBD2674472
Instagram,CBE21102885
Snapchat,CBI544637
Instagram,CBQ2676785
Facebook,CBR1714685
Google,CBT1947634
Google,CBY77605
Facebook,CCQ1352671
Snapchat,CCY2136744
Organic,CCZ1519815
Google,CDF38694
Organic,CEC1020808
Snapchat,CEE1820355
Snapchat,CEJ2455584
Offline Campaign,CEL1648933
Google,CEN2425017
Google,CEQ1062262
Organic,CEQ1731401
Offline Campaign,CET1477472
Instagram,CEZ1632055
Facebook,CFD658728
Facebook,CFF387528
Organic,CFI1650046
Instagram,CFX317826
Organic,CGM1916254
Facebook,CGP952419
Snapchat,CGQ2073083
Offline Campaign,CGY1092706
Instagram,CHB342384
Organic,CHH187563
Organic,CIA2199156
Snapchat,CIC1483277
Instagram,CIG1523835
Instagram,CIK1168346
Facebook,CIK6102384
Snapchat,CIT2652935
Instagram,CIW1521813
Facebook,CIY1963081
Snapchat,CJB427210
Offline Campaign,CJF1199918
Offline Campaign,CJN2336822
Snapchat,CJO174727
Offline Campaign,CJT429769
Organic,CJV67284
Organic,CKB346527
Facebook,CKE478621
Snapchat,CKG585422
Google,CKM2340065
Offline Campaign,CKN1841247
Instagram,CKP2625443
Google,CKW646257
Snapchat,CLH397491
Instagram,CLI2184321
Facebook,CLR2666120
Offline Campaign,CLS1098532
Offline Campaign,CLV1161017
Instagram,CMO892874
Snapchat,CMP1289328
Snapchat,CMQ25104244
Google,CMS2420802
Google,CMY572090
Facebook,CNB11103098
Organic,CNC174973
Offline Campaign,CNM2117856
Offline Campaign,CNQ17109155
Facebook,CNR1538088
Offline Campaign,CNS2291074
Facebook,CNS23108798
Snapchat,COE859694
Instagram,COJ1057723
Instagram,COL2146905
Instagram,COO1391422
Facebook,COZ1040959
Instagram,COZ1291569
Offline Campaign,CPA1881642
Facebook,CPB2289133
Facebook,CPC1944769
Facebook,CPC751750
Instagram,CPL1380202
Snapchat,CPY2270644
Facebook,CQG1580088
Instagram,CQK1620880
Offline Campaign,CQL485875
Organic,CQP845576
Instagram,CQV1578570
Organic,CQX1368286
Google,CRA575798
Facebook,CRI2120766
Offline Campaign,CRK819044
Snapchat,CRL1126373
Snapchat,CRN119587
Instagram,CRS2283709
Instagram,CRU311790
Organic,CSA26104988
Offline Campaign,CSH1386412
Google,CSK2325803
Instagram,CSQ1969969
Snapchat,CSY2102099
Offline Campaign,CTB18104676
Snapchat,CTH1540242
Organic,CTJ2153457
Instagram,CTJ317703
Snapchat,CTM1715720
Facebook,CUA25102240
Offline Campaign,CUC2456943
Facebook,CUE1439840
Offline Campaign,CUE2138748
Offline Campaign,CUF2215576
Organic,CUJ1446599
Offline Campaign,CUM2162562
Facebook,CUP1189316
Offline Campaign,CVH1969024
Google,CVI1953409
Google,CVP1296570
Snapchat,CVS1599333
Facebook,CWD1837311
Offline Campaign,CWF1667281
Instagram,CWF2479266
Instagram,CWI22103137
Facebook,CXE1912048
Google,CXG2297695
Facebook,CXL321498
Snapchat,CXR5102669
Instagram,CXU758950
Offline Campaign,CYC1882053
Organic,CYG423268
Instagram,CYL1185491
Facebook,CYX2379254
Offline Campaign,CZC1481285
Snapchat,CZJ1717760
Facebook,CZK185239
Instagram,CZM1377043
Google,CZU465940
Offline Campaign,CZZ1570530
Snapchat,DAB1154927
Organic,DAG655653
Facebook,DAI570545
Organic,DAO2676695
Google,DAT2350937
Facebook,DAW1518804
Offline Campaign,DBC1658338
Offline Campaign,DBF1923658
Offline Campaign,DBF39606
Google,DBG240209
Facebook,DBL257875
Facebook,DBR1293303
Offline Campaign,DCF824567
Instagram,DCK1148504
Snapchat,DCV1829526
Snapchat,DDM1061908
Offline Campaign,DDT612435
Instagram,DDT871397
Snapchat,DEA1155311
Instagram,DED2073986
Google,DEI1442639
Instagram,DEO2267425
Facebook,DEX1926649
Facebook,DEZ157812
Facebook,DFL566495
Offline Campaign,DFP711046
Facebook,DGG344988
Offline Campaign,DGL2253595
Facebook,DGR2421312
Snapchat,DGU823715
Snapchat,DGV2163480
Instagram,DGX1088092
Instagram,DHK2570923
Snapchat,DHO128898
Snapchat,DHR1124363
Snapchat,DIE1158101
Google,DII650283
Offline Campaign,DIP2041679
Organic,DIU1814520
Offline Campaign,DJL2188530
Snapchat,DJL320847
